sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04617_W-R256-A1_A02_S17	7.046	1748	2476000	5831	18886	0	2	3	0	0	0.000	0.000	0.000	0.000	0.000	5.000	0.195	0.063	0.063	0.014	1736	1292	358	2
RR065e_04618_W-R256-B1_C02_S19	3.445	809	597924	2006	26406	0	2	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.028	0.028	0.007	802	634	128	2
RR065e_04619_W-R256-C1_E02_S21	98.689	22721	2672504	11585	18222	0	6	6	0	1	0.000	0.000	0.000	2.000	5.000	67.000	0.388	0.297	0.297	0.213	22611	19230	3198	2
RR065e_04620_W-R256-D1_G02_S23	90.004	22707	926250	17470	12316	0	16	8	0	0	0.000	0.000	0.000	2.000	20.000	114.000	0.585	0.455	0.455	0.279	22553	17598	4740	16
RR065e_04621_W-R256-E1_I02_S25	1.248	306	2035970	673	27652	0	0	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.010	0.010	0.001	304	232	58	0
RR065e_04622_W-R256-F1_K02_S27	12.914	3090	2173190	16633	13115	0	33	24	0	2	0.000	2.000	4.000	7.000	10.000	16.000	0.558	0.043	0.043	0.006	3077	2372	592	2
RR065e_04623_W-R256-G1_M02_S29	10.125	2328	1740548	12898	16853	0	21	14	0	0	0.000	0.000	1.000	4.000	8.000	14.000	0.432	0.033	0.033	0.000	2319	1910	344	4
RR065e_04624_W-R256-H1_O02_S31	5.426	1242	676502	1504	28119	0	1	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.037	0.037	0.012	1240	1038	158	0
RR065e_04625_W-R256-A2_A04_S49	100.044	24820	2447694	21033	8607	0	9	26	0	2	0.000	0.000	0.000	5.000	44.000	134.000	0.704	0.584	0.584	0.325	24664	18624	5830	6
RR065e_04626_W-R256-B2_C04_S51	11.463	2637	3352026	3293	23035	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.110	0.097	0.097	0.029	2629	2198	340	0
RR065e_04627_W-R256-C2_E04_S53	1.369	329	502956	375	29041	0	1	1	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.013	0.000	0.000	0.000	329	248	60	0
RR065e_04628_W-R256-D2_G04_S55	5.049	1270	2437586	1879	27839	0	5	2	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.063	0.023	0.023	0.007	1259	958	250	0
RR065e_04629_W-R256-E2_I04_S57	0.000	0	4231592	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0
RR065e_04630_W-R256-F2_K04_S59	10705.592	2571959	2781030	29816	42	0	2	34	0	0	227.000	3355.100	5039.000	7261.000	10183.000	13502.000	0.997	0.997	0.997	0.996	2559647	2033574	524616	3110
RR065e_04631_W-R256-G2_M04_S61	9621.109	2155798	2249532	29841	19	0	0	35	0	0	150.020	2577.200	4025.000	6297.000	9151.000	12783.000	0.998	0.997	0.997	0.993	2147813	1933410	213734	1084
RR065e_04632_W-R256-H2_O04_S63	5358.783	1210441	1279422	29803	26	0	0	34	0	0	24.000	1175.000	1800.000	3185.000	5136.000	7242.000	0.997	0.988	0.988	0.987	1205735	1069994	135344	440
RR065e_04633_W-R256-A3_A06_S81	6334.453	1580322	1752300	29817	41	0	0	35	0	0	71.000	2566.000	3509.000	4811.500	6231.000	7789.000	0.997	0.996	0.996	0.988	1572315	1169286	402078	1622
RR065e_04634_W-R256-B3_C06_S83	361.059	85375	196858	25187	4124	0	20	28	0	3	0.000	0.000	0.000	90.000	263.000	517.000	0.843	0.810	0.810	0.734	85084	69602	15256	10
RR065e_04635_W-R256-C3_E06_S85	8806.397	1976584	2096144	29815	40	0	1	35	0	0	99.020	2265.100	3291.200	5387.000	7997.000	11500.500	0.997	0.996	0.996	0.990	1969232	1765948	202728	772
RR065e_04636_W-R256-D3_G06_S87	2853.095	702996	1324764	29572	282	0	2	34	0	0	5.020	217.100	529.200	1452.000	2442.000	3800.000	0.989	0.985	0.985	0.968	699202	540186	158356	790
RR065e_04637_W-R256-E3_I06_S89	104.340	24314	1540970	15938	13520	0	5	8	0	2	0.000	0.000	0.000	0.000	14.000	95.000	0.533	0.431	0.431	0.241	24224	19966	4050	2
RR065e_04638_W-R256-F3_K06_S91	287.986	69208	10040914	9796	19984	0	7	9	0	0	0.000	0.000	0.000	1.000	4.000	16.000	0.328	0.190	0.190	0.096	68745	55710	12818	20
RR065e_04639_W-R256-G3_M06_S93	17.799	4152	3098494	2308	27307	0	1	5	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.077	0.042	0.042	0.031	4120	3514	496	2
RR065e_04640_W-R256-H3_O06_S95	1530.264	343890	607612	29517	339	0	2	26	0	0	3.000	317.100	522.000	906.000	1445.000	2061.000	0.987	0.980	0.980	0.979	342350	311490	30502	448
RR065e_04641_W-R256-A4_A08_S113	6119.081	1488629	2026230	29826	37	0	0	29	0	0	226.000	2370.000	2989.200	4257.000	5838.000	7593.500	0.997	0.997	0.997	0.997	1480749	1156690	323188	1620
