sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04237_W-R230-A1_A01	1178.281	266101	313834	29535	316	0	0	28	0	0	1.000	331.100	476.200	744.000	1063.000	1515.000	0.988	0.987	0.987	0.985	263025	252968	9682	514
RR065e_04238_W-R230-B1_C01	1905.565	447815	2049248	29512	314	0	2	18	0	0	0.000	160.100	336.000	847.000	1595.000	2496.000	0.987	0.977	0.977	0.966	446523	359050	86478	1512
RR065e_04239_W-R230-C1_E01	7302.936	1780548	2569348	29762	108	0	0	25	0	0	34.000	2074.300	3514.000	5119.500	6956.000	8998.000	0.995	0.990	0.990	0.987	1775377	1364316	408640	5358
RR065e_04240_W-R230-D1_G01	9815.366	2338488	2669542	29814	33	0	2	24	0	0	112.000	2447.000	3243.400	4587.000	7005.000	14460.000	0.997	0.997	0.997	0.991	2332467	1862196	468738	2596
RR065e_04241_W-R230-E1_I01	5053.082	1177178	1466674	29593	306	0	1	24	0	0	9.000	1780.000	2434.000	3494.000	4889.000	6252.000	0.990	0.988	0.988	0.987	1174265	974724	198392	1508
RR065e_04242_W-R230-F1_K01	6322.475	1430445	1794344	29839	21	0	0	25	0	0	167.000	1767.100	2698.000	4200.000	6046.000	8172.500	0.998	0.997	0.997	0.996	1426947	1231052	194462	2246
RR065e_04243_W-R230-G1_M01	3361.771	763251	1590296	28995	857	0	1	24	0	0	0.000	28.000	271.000	1121.000	2899.000	4924.500	0.970	0.949	0.949	0.936	761240	657888	102658	1318
RR065e_04244_W-R230-H1_O01	110.238	25487	73576	27695	2090	0	27	24	0	0	0.000	6.000	12.000	32.000	85.000	160.000	0.927	0.766	0.766	0.428	25432	21122	4110	22
RR065e_04245_W-R230-A2_A03	1264.385	301108	977312	29517	303	0	2	22	0	0	5.000	86.000	223.000	487.000	1002.000	1698.000	0.987	0.984	0.984	0.944	297740	248862	48482	402
RR065e_04246_W-R230-B2_C03	2253.543	524310	768446	29598	256	0	0	28	0	0	9.000	587.000	846.000	1390.000	2023.000	2844.000	0.990	0.989	0.989	0.980	522818	426134	95688	1542
RR065e_04247_W-R230-C2_E03	6706.345	1634048	2275170	29772	125	0	5	28	0	0	42.000	1711.100	2818.200	4338.500	6331.000	8734.000	0.996	0.993	0.993	0.988	1629626	1245638	381732	4926
RR065e_04248_W-R230-D2_G03	2225.157	540484	1069540	29836	9	0	0	16	0	0	60.000	300.000	552.000	1170.000	1969.000	3027.000	0.998	0.991	0.991	0.983	538979	416868	121346	1240
RR065e_04249_W-R230-E2_I03	2931.591	658236	718820	29835	66	0	1	26	0	0	22.020	1088.000	1401.200	1985.000	2768.000	3675.000	0.998	0.987	0.987	0.987	653862	647320	6178	352
RR065e_04250_W-R230-F2_K03	218.075	51017	941180	21821	7681	0	11	13	0	0	0.000	0.000	0.000	4.000	101.000	337.000	0.730	0.663	0.663	0.502	50896	41666	8994	28
RR065e_04251_W-R230-G2_M03	6205.382	1375763	3330834	29771	52	0	1	25	0	0	23.000	543.100	1561.200	3240.000	5472.000	8586.000	0.996	0.989	0.989	0.987	1372696	1230584	141456	1460
RR065e_04252_W-R230-H2_O03	3967.179	886911	1989778	29129	695	0	0	31	0	0	0.000	43.000	476.400	1534.000	3393.000	5797.000	0.974	0.960	0.960	0.936	884752	780866	103094	984
RR065e_04253_W-R230-A3_A05	181.975	43684	401296	26886	2918	0	9	15	0	1	0.000	1.000	9.000	43.000	114.000	266.000	0.899	0.808	0.808	0.543	43563	34040	9270	40
