sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04077_W-R214-G4_M07_S109	0.695	169	456410	518	28290	0	1	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.006	0.006	0.000	169	142	22	0
RR065e_04078_W-R214-H4_O07_S111	37.373	8307	877386	9507	18269	0	11	13	0	0	0.000	0.000	0.000	0.000	0.000	29.000	0.318	0.249	0.249	0.145	8293	7230	970	2
RR065e_04079_W-R214-A5_A09_S129	622.697	137898	1242324	28650	1127	0	17	20	0	0	0.000	15.000	35.000	133.000	407.000	843.000	0.959	0.915	0.915	0.785	137431	122442	14778	74
RR065e_04080_W-R214-B5_C09_S131	5310.515	1247779	2052646	29673	211	0	3	25	0	0	12.000	750.100	1612.000	3167.000	4835.000	6953.000	0.992	0.981	0.981	0.973	1242673	993714	247672	2478
RR065e_04081_W-R214-C5_E09_S133	7682.018	1725819	2216428	29598	262	0	3	23	0	0	7.020	1568.200	2924.400	4915.000	7152.000	9792.000	0.990	0.989	0.989	0.981	1720776	1481348	238970	1146
RR065e_04082_W-R214-D5_G09_S135	1.189	277	366126	1525	27714	0	1	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.051	0.001	0.001	0.000	277	230	42	0
RR065e_04083_W-R214-E5_I09_S137	358.145	84259	199116	22780	7023	0	11	18	0	0	0.000	0.000	0.000	11.000	111.000	494.000	0.762	0.658	0.658	0.519	83966	66562	17208	66
RR065e_04084_W-R214-F5_K09_S139	1867.851	442871	683150	29543	293	0	3	23	0	0	7.000	95.000	396.000	854.000	1658.000	2604.000	0.988	0.969	0.969	0.950	441221	348524	92438	472
RR065e_04085_W-R214-G5_M09_S141	3.463	770	248920	1508	27224	0	1	6	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.032	0.032	0.009	769	686	74	2
RR065e_04086_W-R214-H5_O09_S143	74.714	16350	934180	18854	10637	0	16	11	0	0	0.000	0.000	0.000	3.000	20.000	59.000	0.631	0.403	0.403	0.189	16292	14782	1364	6
RR065e_04087_W-R214-A6_A11_S161	5356.129	1191719	1588458	29570	328	0	1	22	0	0	6.000	1236.900	2199.000	3507.000	5161.000	6883.500	0.989	0.988	0.988	0.987	1188377	1045398	142604	436
RR065e_04088_W-R214-B6_C11_S163	449.078	104513	648094	27981	1825	0	9	17	0	0	0.000	5.000	26.000	108.000	285.000	572.000	0.936	0.889	0.889	0.763	104101	84108	19714	106
RR065e_04089_W-R214-C6_E11_S165	0.400	85	477610	280	50	0	2	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.008	0.008	0.000	85	78	6	0
RR065e_04090_W-R214-D6_G11_S167	0.592	136	627102	805	23395	0	4	6	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.004	0.004	0.000	136	104	32	0
RR065e_04091_W-R214-E6_I11_S169	0.000	0	363198	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0
