sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04712_W-R260-A1_A02_S17	197.659	43064	3723322	18076	11384	0	5	11	0	1	0.000	0.000	0.000	2.000	47.000	254.000	0.605	0.537	0.537	0.405	42924	39048	3624	48
RR065e_04713_W-R260-B1_C02_S19	10.964	2409	983966	1123	27120	0	1	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.035	0.035	0.032	2407	2182	210	0
RR065e_04714_W-R260-D1_G02_S23	2511.527	548658	2451908	29790	25	0	0	22	0	1	13.000	323.100	574.000	991.000	1855.000	3345.000	0.996	0.983	0.983	0.980	547064	501856	45048	252
RR065e_04715_W-R260-E1_I02_S25	20.649	4441	1305578	5858	23923	0	2	3	0	1	0.000	0.000	0.000	0.000	2.000	6.000	0.196	0.120	0.120	0.051	4429	4166	222	0
RR065e_04716_W-R260-F1_K02_S27	693.374	150464	841376	28785	1017	0	1	33	0	0	0.000	35.000	78.000	224.000	485.000	982.000	0.964	0.956	0.956	0.880	150138	140338	9566	38
RR065e_04717_W-R260-G1_M02_S29	636.818	137987	1021460	29037	797	0	2	24	0	0	3.000	72.000	151.000	309.000	550.000	837.000	0.971	0.962	0.962	0.932	137553	128196	9076	92
RR065e_04718_W-R260-A2_A04_S49	9351.247	2046494	4660640	29651	222	0	0	22	0	1	14.000	986.100	2324.400	4928.000	8452.000	12637.000	0.992	0.985	0.985	0.975	2040371	1845128	193286	2536
RR065e_04719_W-R260-B2_C04_S51	13.234	2930	1911444	1542	27538	0	2	1	0	0	0.000	0.000	0.000	0.000	1.000	3.000	0.052	0.022	0.022	0.022	2919	2514	354	2
RR065e_04720_W-R260-C2_E04_S53	2246.563	541023	4002958	29074	746	0	8	25	0	0	2.000	30.000	71.000	303.000	1346.000	3348.000	0.973	0.951	0.951	0.885	539048	419210	119320	400
RR065e_04721_W-R260-E2_I04_S57	460.158	100085	1988298	26467	3325	0	3	21	0	0	0.000	2.000	7.000	58.000	291.000	727.000	0.885	0.808	0.808	0.694	99627	92284	7076	54
RR065e_04722_W-R260-F2_K04_S59	30.377	6607	2033632	13368	16088	0	7	10	0	1	0.000	0.000	0.000	0.000	5.000	28.000	0.447	0.244	0.244	0.081	6581	6162	358	0
RR065e_04723_W-R260-G2_M04_S61	561.202	121831	598578	29763	48	0	0	33	0	4	42.000	170.000	242.000	352.000	511.000	722.000	0.995	0.994	0.994	0.978	121329	112906	8124	92
RR065e_04724_W-R260-H2_O04_S63	16.326	3533	1968494	10125	19605	0	9	5	0	0	0.000	0.000	0.000	0.000	4.000	16.000	0.339	0.157	0.157	0.030	3521	3292	192	0
RR065e_04725_W-R260-A3_A06_S81	6478.135	1415804	2307134	29816	49	0	0	28	0	0	88.000	1022.000	1603.000	2993.000	5358.000	8716.000	0.997	0.997	0.997	0.990	1412008	1284688	126182	1372
RR065e_04726_W-R260-B3_C06_S83	1.721	368	10594688	823	28886	0	1	1	0	0	0.000	0.000	0.000	0.000	0.000	3.000	0.028	0.000	0.000	0.000	368	342	24	0
RR065e_04727_W-R260-D3_G06_S87	3331.606	723519	4532866	29529	285	0	1	28	0	0	5.000	290.000	772.000	1581.500	2858.000	4586.500	0.988	0.987	0.987	0.975	721051	664672	55958	370
RR065e_04728_W-R260-E3_I06_S89	1.904	411	1364966	1219	28437	0	1	0	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.041	0.012	0.012	0.000	404	360	18	0
RR065e_04729_W-R260-F3_K06_S91	21.801	4822	288588	7323	22153	0	1	6	0	3	0.000	0.000	0.000	0.000	1.000	9.000	0.245	0.193	0.193	0.094	4810	4216	520	0
RR065e_04730_W-R260-G3_M06_S93	1069.110	231854	650828	29567	275	0	1	29	0	0	7.000	323.100	477.000	698.000	1019.000	1352.000	0.989	0.980	0.980	0.980	231206	215494	15466	234
RR065e_04731_W-R260-H3_O06_S95	433.643	94209	230252	29527	309	0	2	28	0	0	6.000	165.000	216.200	308.000	420.000	532.000	0.987	0.983	0.983	0.976	93990	87354	6402	118
RR065e_04732_W-R260-B4_C08_S115	5970.583	1345450	7895676	29596	267	0	10	33	0	1	10.000	638.000	913.000	1694.000	3874.000	7960.500	0.990	0.981	0.981	0.972	1340839	1151408	188444	1264
RR065e_04733_W-R260-C4_E08_S117	13974.444	3291360	5943032	29858	4	0	4	21	0	0	49.000	1329.000	3129.400	7226.000	11881.000	18724.000	0.999	0.997	0.997	0.978	3280928	2637366	644596	4340
RR065e_04734_W-R260-D4_G08_S119	3773.112	822189	2121204	29295	568	0	2	22	0	0	5.000	63.000	222.000	1193.500	2868.000	5705.000	0.980	0.965	0.965	0.935	819734	752626	67058	984
RR065e_04735_W-R260-E4_I08_S121	290.774	62943	258484	29287	546	0	4	22	0	0	0.000	39.000	77.000	162.000	254.000	387.000	0.980	0.964	0.964	0.870	62797	58468	4160	26
RR065e_04736_W-R260-F4_K08_S123	209.874	45455	1597506	28268	1518	0	3	33	0	4	0.000	9.000	16.000	53.000	148.000	309.000	0.945	0.842	0.842	0.607	45255	42386	2636	56
