sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04170_W-R220-E4_I08_S505	7539.440	1992240	5942580	29535	300	0	2	24	0	0	1.000	313.100	1180.200	3144.000	6684.000	10340.000	0.988	0.982	0.982	0.966	1982126	1340426	641308	928
RR065e_04171_W-R220-F4_K08_S507	15307.162	4042619	5471572	29697	160	0	2	21	0	0	55.000	4990.100	7540.200	11070.000	15013.000	19141.500	0.993	0.991	0.991	0.989	4023013	2722092	1300582	1608
RR065e_04172_W-R220-G4_M08_S509	10451.021	2778803	6336874	29853	49	0	0	28	0	0	97.000	583.000	2233.000	4761.000	9509.000	14707.000	0.998	0.992	0.992	0.990	2765245	1849776	915778	1298
RR065e_04173_W-R220-H4_O08_S511	19.248	5108	2644856	4187	22443	0	6	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.140	0.092	0.092	0.041	5086	3402	1582	4
RR065e_04174_W-R220-A5_A10_S529	5466.210	1463734	6123290	29549	323	0	1	24	0	0	1.000	279.100	685.200	2186.000	4579.000	7688.500	0.988	0.986	0.986	0.971	1456144	968846	487196	550
RR065e_04175_W-R220-B5_C10_S531	19489.367	5155198	5985356	29837	51	0	2	34	0	0	4868.040	8509.000	10724.200	14497.000	18940.000	24173.000	0.998	0.998	0.998	0.997	5129588	3460460	1668650	2588
RR065e_04176_W-R220-C5_E10_S533	10613.749	2850712	4766018	29854	44	0	1	22	0	0	51.000	930.000	2370.400	6001.500	10171.000	14743.000	0.998	0.997	0.997	0.989	2835988	1880398	955294	1586
RR065e_04177_W-R220-D5_G10_S535	16067.574	4104252	6184122	29854	9	0	0	22	0	0	272.020	4258.300	5923.200	9358.500	14151.000	20908.500	0.998	0.998	0.998	0.997	4084858	2891846	1193072	2038
RR065e_04178_W-R220-E5_I10_S537	10.480	2869	3487836	2366	27242	0	1	3	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.055	0.055	0.030	2838	1764	1006	0
RR065e_04179_W-R220-F5_K10_S539	5224.924	1384778	5914684	29807	50	0	9	20	0	0	37.000	235.000	653.000	1718.500	3609.000	7141.500	0.997	0.994	0.994	0.971	1377567	930120	447400	828
RR065e_04180_W-R220-G5_M10_S541	39.508	10414	3044178	7820	21738	0	3	6	0	1	0.000	0.000	0.000	0.000	0.000	11.000	0.262	0.188	0.188	0.079	10361	7034	3218	0
RR065e_04181_W-R220-H5_O10_S543	23882.499	5989313	6759996	29854	48	0	1	19	0	0	138.020	8381.000	10817.200	14900.000	21145.000	30626.500	0.998	0.998	0.998	0.994	5960430	4328592	1630556	2894
RR065e_04182_W-R220-A6_A12_S561	16505.781	4167614	7843678	29755	110	0	1	28	0	0	76.000	2435.200	5051.200	9760.500	15549.000	22448.000	0.995	0.993	0.993	0.989	4148722	2984158	1165034	2148
RR065e_04183_W-R220-B6_C12_S563	558.631	148296	3335332	27706	2098	0	13	19	0	0	0.000	5.000	15.000	62.000	196.000	549.000	0.927	0.852	0.852	0.650	147481	99236	48012	46
RR065e_04184_W-R220-C6_E12_S565	14498.247	3730111	6302354	29854	48	0	1	30	0	0	76.000	1821.300	4224.400	7608.000	11881.000	20210.000	0.998	0.994	0.994	0.985	3711710	2595954	1115312	2426
RR065e_04185_W-R220-D6_G12_S567	12082.894	3288465	4020078	29791	70	0	6	25	0	0	24.000	1938.100	3400.200	7105.000	11265.000	16384.500	0.996	0.986	0.986	0.981	3271203	2129458	1141050	1604
RR065e_04186_W-R220-E6_I12_S569	18414.432	4627825	7634148	29771	129	0	3	22	0	0	31.000	2203.700	6341.400	11321.500	17401.000	24360.500	0.996	0.991	0.991	0.988	4604874	3330904	1273032	3442
RR065e_04187_W-R220-F6_K12_S571	46.320	12309	2735282	11977	17804	0	13	15	0	1	0.000	0.000	0.000	0.000	0.000	51.000	0.401	0.316	0.316	0.152	12252	8092	4016	2
RR065e_04188_W-R220-G6_M12_S573	1243.170	331444	4225228	27729	2106	0	7	21	0	0	0.000	2.000	30.000	122.000	500.000	1363.000	0.928	0.901	0.901	0.772	329632	220384	108974	172
RR065e_04189_W-R220-H6_O12_S575	5769.444	1541463	4532362	29630	230	0	0	21	0	0	33.000	401.100	953.200	2141.000	4776.000	8052.000	0.991	0.991	0.991	0.978	1533413	1023736	509348	802
RR065e_04190_W-R220-A7_A14_S593	11909.036	3059348	7062896	29691	163	0	2	21	0	0	12.040	584.000	3046.000	6460.000	11434.000	16475.000	0.993	0.988	0.988	0.982	3044537	2134736	909476	1666
RR065e_04191_W-R220-B7_C14_S595	12647.347	3318498	6329118	29640	260	0	1	28	0	0	20.000	1099.000	2662.200	6630.500	11136.000	17380.500	0.991	0.989	0.989	0.983	3302303	2255406	1046346	1850
RR065e_04192_W-R220-C7_E14_S597	4925.203	1321432	4199488	29553	310	0	3	28	0	0	6.000	98.000	317.000	1192.000	2736.000	6977.500	0.989	0.973	0.973	0.949	1314332	868470	445734	716
RR065e_04193_W-R220-D7_G14_S599	2113.037	570832	3886588	29098	726	0	7	25	0	0	0.000	18.000	50.200	313.000	991.000	2746.000	0.973	0.933	0.933	0.858	567643	371764	195454	338
RR065e_04194_W-R220-E7_I14_S601	18302.734	4754575	7240438	29828	74	0	1	25	0	0	60.000	2625.100	6449.000	11502.000	17589.000	24317.000	0.998	0.995	0.995	0.986	4730782	3269266	1461188	2962
RR065e_04195_W-R220-F7_K14_S603	9408.618	2446424	4898686	29410	493	0	0	24	0	0	0.000	286.000	1928.200	4438.000	8937.000	13045.000	0.984	0.977	0.977	0.970	2433932	1683462	751162	1500
RR065e_04196_W-R220-G7_M14_S605	10618.459	2726171	7485462	29420	434	0	1	19	0	0	2.000	220.000	1317.200	3760.000	9288.000	14880.500	0.984	0.981	0.981	0.967	2712631	1906974	805176	1606
RR065e_04197_W-R220-H7_O14_S607	219.202	60155	5145382	16372	13137	0	12	18	0	0	0.000	0.000	0.000	0.000	26.000	152.000	0.548	0.489	0.489	0.328	59786	38790	20818	6
RR065e_04198_W-R220-A8_A16_S625	19165.434	4757103	9083402	29444	457	0	0	24	0	0	0.000	4260.000	7233.200	11709.500	18456.000	25619.000	0.985	0.984	0.984	0.983	4735064	3495838	1242210	2264
RR065e_04199_W-R220-B8_C16_S627	734.404	197562	3013868	28983	826	0	18	20	0	0	0.000	14.000	37.000	111.000	312.000	951.000	0.970	0.915	0.915	0.769	196579	129912	66464	70
RR065e_04200_W-R220-C8_E16_S629	8136.343	2153599	5459174	29421	394	0	4	21	0	0	0.000	173.000	825.000	3140.000	6240.000	11705.500	0.984	0.984	0.984	0.971	2142312	1447596	694322	1496
RR065e_04201_W-R220-D8_G16_S631	14474.128	3722572	5620600	29822	80	0	0	25	0	0	128.000	2039.100	3485.400	7317.500	11599.000	19728.000	0.997	0.997	0.997	0.996	3704346	2597338	1105880	2586
RR065e_04202_W-R220-E8_I16_S633	12667.852	3224669	6073188	29816	71	0	0	15	0	0	168.000	956.100	3421.000	6525.500	12247.000	17527.500	0.997	0.991	0.991	0.991	3209087	2283208	924898	2378
RR065e_04203_W-R220-F8_K16_S635	216.625	57477	3374560	23226	6542	0	43	15	0	1	0.000	0.000	0.000	13.000	75.000	255.000	0.778	0.643	0.643	0.459	57175	38438	18532	32
RR065e_04204_W-R220-G8_M16_S637	1323.216	365134	479338	29081	717	0	17	28	0	0	0.000	32.000	97.000	403.000	1045.000	1949.000	0.973	0.952	0.952	0.898	362971	234480	128196	92
RR065e_04205_W-R220-H8_O16_S639	4830.017	1308788	3801596	29510	333	0	4	24	0	0	0.000	222.000	783.000	1910.000	3818.000	6551.000	0.987	0.978	0.978	0.960	1301822	853694	447772	634
RR065e_04206_W-R220-A9_A18_S657	15870.099	4052192	5628354	29821	45	0	3	24	0	0	78.040	5579.000	7831.200	11362.500	15435.000	19862.000	0.997	0.994	0.994	0.989	4032764	2850436	1182382	1924
RR065e_04207_W-R220-B9_C18_S659	1806.531	482845	3893694	29345	460	0	15	26	0	0	0.000	90.000	164.000	503.000	1159.000	2294.000	0.982	0.976	0.976	0.945	480289	319888	160190	218
RR065e_04208_W-R220-C9_E18_S661	12304.376	3247062	6070398	29569	291	0	1	25	0	0	6.000	416.000	2098.200	5448.000	10160.000	16802.000	0.989	0.981	0.981	0.972	3230524	2189604	1041152	2168
RR065e_04209_W-R220-D9_G18_S663	1321.902	349160	6064338	28091	1720	0	8	20	0	0	0.000	8.000	25.000	132.000	454.000	1472.000	0.940	0.884	0.884	0.782	347260	235224	111704	146
RR065e_04210_W-R220-E9_I18_S665	2804.597	748216	4931248	29171	696	0	1	21	0	0	1.000	46.000	196.000	708.000	1828.000	3422.000	0.976	0.961	0.961	0.930	744120	497368	246430	346
RR065e_04211_W-R220-F9_K18_S667	16460.597	4075581	6781484	29691	210	0	1	20	0	0	27.000	2471.000	4792.400	9909.500	15819.000	22162.000	0.993	0.990	0.990	0.987	4057824	2998106	1059132	2456
RR065e_04212_W-R220-G9_M18_S669	20059.836	5411868	6425074	29817	47	0	1	27	0	0	1198.140	4933.000	7213.000	12544.000	19225.000	26484.000	0.997	0.997	0.997	0.997	5383534	3549732	1833158	2964
RR065e_04213_W-R220-H9_O18_S671	6.185	1758	5980100	1345	21873	0	1	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.032	0.032	0.018	1749	1088	628	0
RR065e_04214_W-R220-A10_A20_S689	10802.716	2767326	6296184	29188	709	0	4	23	0	0	0.000	269.000	1165.200	4908.000	9904.000	15541.000	0.976	0.973	0.973	0.963	2753226	1942440	810868	1416
RR065e_04215_W-R220-B10_C20_S691	24212.814	6180592	7002318	29830	55	0	0	24	0	0	3487.020	6798.600	10531.400	16932.500	23547.000	31369.500	0.997	0.997	0.997	0.997	6151010	4354080	1795436	3752
RR065e_04216_W-R220-C10_E20_S693	17096.519	4371882	6881658	29854	47	0	2	20	0	0	140.040	2961.100	5553.600	9812.500	16032.000	22562.000	0.998	0.998	0.998	0.991	4350418	3080766	1270644	3034
RR065e_04217_W-R220-D10_G20_S695	22777.687	5805156	8524576	29742	121	0	3	19	0	0	41.000	3518.700	7401.200	13644.500	21598.000	30037.500	0.995	0.992	0.992	0.989	5777603	4100878	1676590	3120
RR065e_04218_W-R220-E10_I20_S697	10871.127	2821831	4945820	29672	219	0	2	24	0	0	14.020	325.000	1453.200	5133.500	10298.000	15397.000	0.992	0.985	0.985	0.973	2807660	1945210	862332	1340
RR065e_04219_W-R220-F10_K20_S699	3372.182	883813	4420840	28836	977	0	3	21	0	0	0.000	24.000	128.000	600.000	1916.000	4219.500	0.964	0.946	0.946	0.912	879484	600214	279048	606
RR065e_04220_W-R220-G10_M20_S701	2309.525	641564	3142250	29206	612	0	7	24	0	0	0.000	65.000	191.000	603.000	1617.000	3351.000	0.977	0.965	0.965	0.932	638004	406620	231282	256
RR065e_04221_W-R220-H10_O20_S703	5224.965	1369258	5553934	29469	396	0	3	25	0	0	2.000	111.000	379.000	1369.000	3643.000	7258.000	0.986	0.966	0.966	0.951	1362354	931810	430226	768
RR065e_04222_W-R220-A11_A22_S721	571.055	155577	5808940	24299	5501	0	19	24	0	2	0.000	0.000	0.000	29.000	139.000	588.000	0.813	0.747	0.747	0.561	154680	100806	53690	48
RR065e_04223_W-R220-B11_C22_S723	226.276	60218	3469544	16321	13155	0	8	12	0	0	0.000	0.000	0.000	0.000	18.000	168.000	0.546	0.441	0.441	0.304	59901	39906	19786	16
RR065e_04224_W-R220-C11_E22_S725	140.577	37413	4210392	17306	12554	0	12	11	0	0	0.000	0.000	0.000	0.000	23.000	135.000	0.579	0.476	0.476	0.299	37230	24786	12242	8
RR065e_04225_W-R220-D11_G22_S727	5743.689	1485799	8256506	28782	1063	0	4	18	0	0	0.000	25.000	95.000	796.000	2826.000	7665.000	0.963	0.947	0.947	0.897	1478141	1029408	448174	1306
RR065e_04226_W-R220-E11_I22_S729	1394.473	373151	2957300	28627	1189	0	4	22	0	0	0.000	13.000	37.000	217.000	647.000	1616.500	0.958	0.917	0.917	0.829	371247	247726	123206	218
RR065e_04227_W-R220-F11_K22_S731	43.748	11566	2751672	9369	18735	0	4	7	0	2	0.000	0.000	0.000	0.000	0.000	30.000	0.314	0.253	0.253	0.131	11514	7754	3630	0
RR065e_04228_W-R220-G11_M22_S733	12529.510	3165942	5604434	29611	287	0	5	29	0	0	16.000	1502.400	4316.000	7601.000	11998.000	16595.500	0.990	0.983	0.983	0.982	3150718	2268350	881910	1704
RR065e_04229_W-R220-H11_O22_S735	6025.756	1604346	6457128	29426	401	0	2	25	0	0	8.000	109.100	542.000	1606.000	4346.000	8367.000	0.984	0.975	0.975	0.953	1595984	1069466	526152	864
RR065e_04230_W-R220-A12_A24_S753	9928.178	2538933	5868386	29642	247	0	2	26	0	0	11.000	714.000	2259.000	4914.000	8978.000	14006.500	0.991	0.986	0.986	0.984	2526558	1784216	742252	1308
RR065e_04231_W-R220-B12_C24_S755	19.100	5013	3447492	4674	24596	0	1	6	0	2	0.000	0.000	0.000	0.000	0.000	1.000	0.156	0.119	0.119	0.059	4987	3346	1552	0
RR065e_04232_W-R220-C12_E24_S757	4334.916	957909	1412566	29589	263	0	0	21	0	0	6.000	551.000	1601.200	2779.000	4170.000	5582.500	0.989	0.982	0.982	0.980	954186	843450	109914	2020
RR065e_04233_W-R220-D12_G24_S759	15307.998	3905760	7909874	29656	193	0	2	21	0	0	17.000	610.000	3353.600	7929.500	14556.000	21418.000	0.992	0.987	0.987	0.982	3886570	2758806	1127944	2510
RR065e_04234_W-R220-E12_I24_S761	4191.312	1099337	6134444	28882	974	0	3	20	0	0	0.000	15.000	59.000	509.000	1910.000	5824.000	0.966	0.934	0.934	0.865	1093346	747576	345628	640
RR065e_04235_W-R220-F12_K24_S763	1293.560	347061	5024536	28284	1518	0	20	22	0	0	0.000	8.000	37.000	138.000	504.000	1333.500	0.947	0.916	0.916	0.806	345152	228346	116692	126
RR065e_04236_W-R220-G12_M24_S765	26136.531	6823123	7808644	29822	81	0	0	24	0	0	4666.020	10191.200	13536.800	19288.500	26135.000	32817.500	0.997	0.997	0.997	0.997	6788880	4663384	2124606	2332
RR066e_02037_W-R218-B1_C01_S387	14394.567	3732968	9232014	29822	10	0	1	20	0	0	68.000	1214.000	2288.400	6647.500	12981.000	19969.000	0.997	0.997	0.997	0.989	3714324	2569850	1143992	1500
RR066e_02038_W-R218-C1_E01_S389	18176.031	4656359	7264066	29848	14	0	3	18	0	0	592.980	5629.200	8239.000	12160.000	17672.000	23526.000	0.998	0.997	0.997	0.997	4633923	3246092	1387378	1414
RR066e_02039_W-R218-D1_G01_S391	18740.666	4741302	7247932	29816	85	0	2	22	0	0	545.080	3490.100	5683.400	11243.000	18358.000	25039.500	0.997	0.997	0.997	0.997	4719566	3376362	1342300	2244
RR066e_02040_W-R218-E1_I01_S393	1173.862	324667	4775024	29751	57	0	13	19	0	0	14.000	61.000	137.000	364.000	884.000	1508.000	0.996	0.976	0.976	0.930	322897	205820	116832	138
RR066e_02041_W-R218-F1_K01_S395	16953.389	4165261	8378502	29850	11	0	0	20	0	0	167.020	1142.000	4545.200	8738.000	15514.000	23469.000	0.998	0.998	0.998	0.991	4145885	3098250	1046860	2258
RR066e_02042_W-R218-G1_M01_S397	15140.909	3690979	5193504	29840	21	0	1	20	0	0	168.060	2701.100	4870.000	8909.000	14476.000	20404.500	0.998	0.998	0.998	0.996	3674798	2772848	901268	1576
RR066e_02043_W-R218-H1_O01_S399	7159.339	1707798	3180428	29841	17	0	3	20	0	0	315.020	2121.000	3008.200	4459.000	6593.000	9240.000	0.998	0.998	0.998	0.996	1700019	1331828	367782	742
RR066e_02044_W-R218-A2_A03_S417	124.072	32953	5443588	14101	14011	0	5	8	0	0	0.000	0.000	0.000	0.000	6.000	136.000	0.472	0.405	0.405	0.294	32735	21672	10874	0
RR066e_02045_W-R218-B2_C03_S419	735.174	191826	6931216	27969	1830	0	14	21	0	0	1.000	8.000	17.000	81.000	309.000	870.000	0.936	0.837	0.837	0.724	190876	130476	60206	68
RR066e_02046_W-R218-C2_E03_S421	357.153	96534	6763954	20715	9062	0	20	17	0	0	0.000	0.000	0.000	4.000	59.000	341.000	0.693	0.574	0.574	0.424	96001	62666	33130	62
RR066e_02047_W-R218-D2_G03_S423	11005.760	2909868	6194410	29816	20	0	0	26	0	0	130.440	1417.300	2414.000	5991.000	10334.000	15220.000	0.997	0.997	0.997	0.990	2894907	1951516	942706	1670
RR066e_02048_W-R218-E2_I03_S425	4410.593	1129583	5843144	29171	642	0	3	27	0	0	2.000	38.000	147.000	812.000	2601.000	5926.000	0.976	0.956	0.956	0.920	1123834	793618	329836	698
