sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04820_W-R267-G4_N07_S110	1087.539	243051	552208	29532	316	0	1	28	0	0	4.000	271.000	402.000	677.000	1014.000	1442.000	0.988	0.980	0.980	0.979	242301	211596	30454	74
RR065e_04821_W-R267-H4_P07_S112	5519.591	1239514	1285168	29812	6	0	0	24	0	0	116.000	1141.000	1723.200	3153.000	5112.000	7672.500	0.997	0.995	0.995	0.991	1235490	1071724	163304	574
RR065e_04822_W-R267-A5_B09_S130	11613.836	2652820	3310142	29765	106	0	2	24	0	0	123.100	2506.200	4071.200	6585.000	9827.000	16081.000	0.995	0.995	0.995	0.991	2644068	2206642	436820	2008
RR065e_04823_W-R267-B5_D09_S132	16064.395	3690987	4723196	29649	215	0	1	21	0	0	26.280	2309.100	4533.200	7450.500	12525.000	23138.000	0.992	0.990	0.990	0.989	3675660	3043124	628672	9066
RR065e_04824_W-R267-C5_F09_S134	9554.644	2191134	2284218	29815	11	0	1	23	0	0	1561.080	2696.000	3376.200	4921.000	7343.000	13698.000	0.997	0.997	0.997	0.997	2183585	1813414	369276	1384
RR065e_04825_W-R267-D5_H09_S136	8862.637	2024368	2674014	29750	116	0	3	30	0	1	45.000	1645.100	3412.000	5578.500	8435.000	11602.500	0.995	0.992	0.992	0.988	2017316	1694462	322310	1716
RR065e_04826_W-R267-E5_J09_S138	7.052	1622	1651896	6045	23562	0	7	13	0	3	0.000	0.000	0.000	0.000	0.000	4.000	0.202	0.083	0.083	0.003	1617	1294	288	0
RR065e_04827_W-R267-F5_L09_S140	3624.597	823989	871468	29813	51	0	1	23	0	0	79.000	251.000	611.000	1569.000	3084.000	5184.000	0.997	0.996	0.996	0.981	821348	692284	128646	376
RR065e_04828_W-R267-G5_N09_S142	169.679	38214	1139638	26732	3050	0	15	31	0	4	0.000	3.000	9.000	44.000	118.000	241.000	0.894	0.818	0.818	0.553	38051	32564	5278	6
RR065e_04829_W-R267-H5_P09_S144	214.647	48152	2076058	27614	2171	0	4	37	0	4	0.000	4.000	16.000	59.000	139.000	290.000	0.924	0.859	0.859	0.612	47941	41692	6046	4
RR065e_04830_W-R267-A6_B11_S162	11132.813	2567985	4120292	29815	52	0	1	23	0	0	53.000	2528.100	4178.400	6544.500	10034.000	14825.500	0.997	0.995	0.995	0.988	2558562	2115514	441538	2258
RR065e_04831_W-R267-B6_D11_S164	27869.737	6345250	6589248	29855	18	0	1	19	0	0	6526.360	10075.700	12652.400	17000.000	24243.000	37382.500	0.998	0.998	0.998	0.997	6321953	5283382	1033052	10636
RR065e_04832_W-R267-C6_F11_S166	376.780	86531	2647736	27025	2724	0	35	19	0	3	0.000	4.000	10.000	45.000	181.000	507.000	0.906	0.800	0.800	0.632	86250	71870	14124	54
RR065e_04833_W-R267-D6_H11_S168	105.282	24728	2462744	17516	12177	0	10	23	0	5	0.000	0.000	0.000	0.000	19.000	109.000	0.586	0.449	0.449	0.262	24614	19692	4708	10
RR065e_04834_W-R267-E6_J11_S170	961.666	224494	243550	29607	201	0	7	22	0	0	11.000	75.000	150.000	376.000	780.000	1376.000	0.991	0.975	0.975	0.936	223719	179692	43748	62
RR065e_04835_W-R267-F6_L11_S172	1000.051	224137	791762	29529	319	0	1	24	0	0	6.000	126.000	211.000	402.000	766.000	1360.000	0.988	0.979	0.979	0.962	223452	193716	29502	28
RR065e_04836_W-R267-G6_N11_S174	1288.219	288038	766274	29778	25	0	0	34	0	4	156.000	423.000	558.000	836.000	1223.000	1619.000	0.996	0.995	0.995	0.995	287099	250132	36718	68
